#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85000634150_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:00:14.630 CEST
#QUERYTIME 286 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857825348504,85,373.2326,462.4911,911.3354,69.9123,407.8627,-107.1215,994192556
857825348511,85,373.2833,462.5336,911.381,93.6736,355.6693,-118.6793,994192556
857825348512,85,372.966,462.6454,911.2019,-269.0352,176.1563,-178.7772,994192547
857825348519,85,372.8127,462.6894,911.0583,239.7185,-147.4099,-345.5638,994192544
857825348520,85,372.7823,462.4593,911.0459,163.4358,-74.3314,-348.6449,994192544
857825348525,85,373.198,462.6195,911.265,-33.2264,285.437,-196.9881,994192556
857825348526,85,372.9748,462.4188,911.0502,246.4312,-204.1908,-431.4166,994192544
857825348527,85,372.85,462.7325,911.1453,274.6479,-160.9191,-341.2249,994192547
857825348528,85,372.726,462.5048,911.0934,-25.2831,-46.3299,-331.2075,994192544
857825348531,85,372.9708,462.6014,911.2432,181.3183,619.5219,-274.5813,994192547
857825348532,85,372.9348,462.2206,911.0789,266.3033,333.886,20.895,994192544
857825348533,85,372.7964,462.7397,911.0951,-58.77,64.2828,-367.7899,994192544
857825348534,85,372.8151,462.7511,911.0306,89.5335,-120.1878,-303.4082,994192544
857825348535,85,372.7621,462.7481,911.0731,154.855,-76.5274,-328.9857,994192544
857825348536,85,373.1666,462.6347,911.0875,-69.3893,327.8365,-199.9218,994192555
857825348538,85,372.8683,462.2863,911.0312,118.6311,493.405,-193.1261,994192544
857825348541,85,372.8117,462.5625,911.147,246.3256,41.1293,-365.5848,994192547
857825348542,85,372.7725,462.5807,911.1884,-77.8739,-23.9746,-168.4082,994192547
857825348543,85,372.7929,462.6426,911.0552,28.1711,-118.1872,-303.6775,994192544
857825348544,85,373.2315,462.4137,911.2651,145.7435,363.312,-229.6968,994192556
857825348547,85,372.8772,462.7346,911.1352,45.8391,511.5874,-69.2903,994192547
857825348549,85,372.765,462.5661,911.1735,65.932,-56.3314,-326.0359,994192547
857825348550,85,373.0014,462.7623,911.1904,-132.3121,206.8494,-170.0245,994192547
