#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85008110680_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:53:28.616 CEST
#QUERYTIME 43 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857216256491,85,340.1332,481.6794,844.209,-15.1249,-266.846,157.9527,997012881
857216256498,85,340.1465,481.6667,844.2415,-107.1679,-397.8566,108.3729,997012881
857216256499,85,340.0854,481.576,844.1783,-196.8913,-398.1765,100.0738,997012881
857216256505,85,340.1165,481.6535,844.1805,-201.4721,-371.6232,-38.9182,997012881
857216256506,85,340.1205,481.7066,844.1879,-194.9689,-337.0731,32.2181,997012881
857217288696,85,340.0413,481.6985,844.1999,-215.7814,-304.0464,63.6402,997012881
857217288704,85,340.1326,481.5876,844.0927,-127.3802,-353.532,127.4372,997012881
857217288712,85,340.0126,481.6714,844.1218,-92.2927,-313.3085,55.4747,997012881
857217305065,85,340.0992,481.6594,844.2166,-210.6189,-425.5576,41.4713,997012881
857217305066,85,340.1017,481.6506,844.2111,-14.682,-335.7648,95.9862,997012881
857217305067,85,340.0743,481.6518,844.2266,-184.4379,-359.585,68.5902,997012881
857217305068,85,340.1072,481.6459,844.2134,-317.4217,-386.3937,122.9903,997012881
857217305073,85,340.0998,481.6563,844.2209,-84.1182,-296.3597,71.8206,997012881
857217305074,85,340.114,481.6646,844.2107,-165.4324,-434.9611,67.175,997012881
857217305075,85,340.1099,481.6335,844.1971,-122.1489,-415.9232,105.4315,997012881
857217305076,85,340.1157,481.6689,844.2081,-193.3639,-343.9128,-21.716,997012881
857217305081,85,340.1127,481.6555,844.2108,-98.1529,-332.1394,81.549,997012881
857217305082,85,340.1029,481.6472,844.2086,-57.6001,-429.0595,124.6801,997012881
857217305083,85,340.0693,481.6518,844.218,-39.1917,-247.8872,105.8397,997012881
857217305084,85,340.1094,481.609,844.1279,-16.718,-286.3529,108.3583,997012881
857217305090,85,340.1043,481.6742,844.2139,-69.8518,-216.9966,104.1474,997012881
857217305091,85,340.1083,481.6645,844.2002,-280.0605,-439.6448,129.4933,997012881
857218337286,85,340.0586,481.8312,844.1995,-164.145,-255.6901,76.8088,997012881
857218353641,85,340.1133,481.6746,844.2021,-71.2499,-339.1589,146.5566,997012881
857218353642,85,340.1114,481.6519,844.2158,-106.8498,-421.1057,69.7184,997012881
857218353643,85,340.0985,481.6798,844.1909,-191.9242,-380.6128,133.197,997012881
857218353649,85,340.1024,481.6797,844.2028,-161.9937,-457.2752,270.9064,997012881
857218353650,85,340.0796,481.652,844.1968,-71.1428,-208.6532,126.5952,997012881
857218353651,85,340.0904,481.6489,844.2178,-218.0864,-372.0346,-21.3731,997012881
857218353652,85,340.0914,481.69,844.1824,-277.0373,-313.0801,41.3385,997012881
857218353657,85,340.1182,481.6419,844.2203,-94.9297,-323.0096,144.7335,997012881
857218353658,85,340.0936,481.6502,844.2129,-219.7161,-345.823,0.902,997012881
857218353659,85,340.0629,481.6156,844.1917,-137.6281,-356.3978,56.1288,997012881
857218353660,85,339.9729,481.6378,844.0966,-76.3899,-375.3579,127.3083,997012881
857218353666,85,340.1706,481.6834,844.2469,-218.8163,-465.3797,53.7489,997012881
857218353667,85,340.0535,481.639,844.2285,-198.176,-376.2263,133.3666,997012881
857219385847,85,340.0154,481.6578,844.0549,-127.6322,-353.5171,118.24,997012881
857219402217,85,340.1053,481.7289,844.199,-110.6805,-472.4525,183.1897,997012881
857219402218,85,340.116,481.6571,844.2316,-89.5804,-417.8873,11.6976,997012881
857219402226,85,340.1127,481.6551,844.2095,-186.2435,-501.1553,-54.2203,997012881
857219402227,85,340.1311,481.6776,844.2218,7.2804,-227.4543,236.1754,997012881
857219402233,85,340.0335,481.6965,844.1187,-188.9158,-413.8839,93.1233,997012881
857219402234,85,340.1289,481.6966,844.209,-221.4921,-403.5664,-51.1505,997012881
857219402235,85,340.0903,481.7656,844.166,-163.1954,-385.5814,91.3625,997012881
857220450794,85,340.2092,481.6125,844.1057,-255.6273,-421.1543,107.1736,997012881
#OK
