#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85009931411_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 12:05:15.779 CEST
#QUERYTIME 44 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857082154022,85,367.8931,509.3648,829.8881,-513.2659,-388.0583,186.9377,809536514
857082154023,85,367.9379,509.3777,829.8957,-499.7893,-380.5101,178.5771,809536514
857082154030,85,367.9163,509.3667,829.7952,-461.2446,-469.8551,128.1765,809536514
857082154031,85,367.9103,509.3559,829.807,-514.1322,-462.8642,161.1654,809536514
857082154038,85,367.9282,509.4351,829.8958,-471.0732,-485.264,201.0149,809536514
857083202590,85,367.9481,509.3507,829.7667,-495.4151,-423.2973,254.592,809536514
857083202591,85,367.9407,509.36,829.8479,-441.8297,-374.1636,270.6399,809536514
857083202597,85,367.9821,509.4152,829.8902,-491.5215,-361.8077,272.2751,809536514
857083202598,85,367.9026,509.3544,829.812,-449.1481,-406.7674,213.5695,809536514
857083202599,85,367.918,509.3673,829.8098,-406.7052,-392.7769,198.5487,809536514
857083202600,85,367.9615,509.3814,829.7685,-480.3113,-386.6809,161.1357,809536514
857083202604,85,367.9595,509.3859,829.8474,-363.8405,-403.7392,120.9787,809536514
857083202605,85,367.9529,509.3607,829.8316,-494.5997,-415.5751,195.548,809536514
857083202606,85,367.9272,509.3741,829.8259,-494.2922,-331.3367,188.2499,809536514
857083202607,85,367.9217,509.3727,829.8124,-445.8018,-378.3548,233.242,809536514
857083202608,85,367.9272,509.3798,829.8269,-389.1486,-386.7102,77.0971,809536514
857083202613,85,368.007,509.355,829.8038,-380.3488,-296.2088,194.5409,809536514
857083202614,85,367.9541,509.3149,829.8011,-435.7889,-343.1274,146.323,809536514
857083202615,85,367.9718,509.5031,829.8928,-508.7473,-444.7646,196.3234,809536514
857121999900,85,367.8618,509.3095,829.8466,-383.9734,-337.0004,183.7206,809536514
857121999901,85,367.8879,509.3439,829.8447,-363.3369,-325.0812,170.6631,809536514
857121999902,85,368.0035,509.4043,829.7975,-476.3854,-418.0431,166.1519,809536514
857121999903,85,367.9273,509.3896,829.8335,-461.2378,-535.8915,179.2827,809536514
857121999908,85,367.8259,509.362,829.8714,-403.9693,-387.7934,169.4439,809536514
857121999909,85,367.9803,509.4195,829.8258,-494.6885,-443.164,186.7677,809536514
857121999910,85,367.9231,509.3874,829.8417,-505.0205,-341.5417,151.2817,809536514
857121999911,85,367.9219,509.3302,829.8239,-516.3378,-312.0675,177.7524,809536514
857121999912,85,367.9836,509.4099,829.8325,-420.045,-447.8614,178.1943,809536514
857121999917,85,367.9981,509.3972,829.7775,-421.1706,-447.4494,107.9306,809536514
857121999918,85,367.9225,509.3824,829.8148,-515.5596,-390.9203,166.4581,809536514
857121999919,85,367.9295,509.388,829.8124,-464.6533,-365.4949,144.9355,809536514
857121999920,85,367.9562,509.3663,829.8625,-522.1587,-405.4547,207.1972,809536514
857121999926,85,367.9091,509.3937,829.8378,-439.6732,-408.3967,123.1143,809536514
857121999927,85,367.9427,509.3976,829.8767,-529.6904,-349.1393,218.6202,809536514
#OK
