#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85004922928_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:31:28.440 CEST
#QUERYTIME 104 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857265572706,85,365.6683,482.6138,852.3574,122.2101,-677.8687,388.3962,996980740
857266604886,85,365.6973,482.6658,852.5732,-117.1911,-778.5602,303.7507,996980741
857266604887,85,365.6615,482.6168,852.5221,108.7599,-769.3497,183.5889,996980740
857266604888,85,365.7855,482.6573,852.4944,52.7456,-726.9532,260.7428,996980740
857266604895,85,365.7711,482.7678,852.5019,13.4636,-689.5916,339.0916,996980740
857266604896,85,365.7664,482.6831,852.5109,60.1404,-628.6047,276.9254,996980740
857266604903,85,365.7387,482.6985,852.547,100.6337,-783.5919,428.669,996980741
857266604904,85,365.7697,482.6962,852.5571,109.8541,-580.5948,290.198,996980741
857266604912,85,365.7345,482.7083,852.5768,-57.7702,-615.7422,142.2387,996980741
857266604928,85,365.7322,482.6481,852.5156,-40.7726,-568.668,253.808,996980740
857266621265,85,365.8269,482.5433,852.4777,50.647,-576.1931,279.9219,996980740
857266621273,85,365.753,482.6679,852.5303,152.0932,-659.7514,279.0461,996980740
857266621281,85,365.7519,482.6871,852.5176,34.7326,-659.5541,191.293,996980740
857266621282,85,365.7264,482.6737,852.5549,144.6528,-721.2037,306.2149,996980741
857266621289,85,365.7529,482.6855,852.5403,93.183,-684.7323,190.5002,996980741
857266621290,85,365.6906,482.6937,852.5204,109.5908,-668.0872,319.6989,996980740
857266621297,85,365.6439,482.7287,852.4786,100.6929,-693.0886,267.4743,996980740
857266621298,85,365.6934,482.7211,852.5245,207.3389,-721.6346,251.9071,996980740
857266621299,85,365.7772,482.6674,852.4168,-5.3551,-682.0885,206.5924,996980740
857266621305,85,365.885,482.6988,852.4335,57.9623,-591.588,163.0668,996980740
857266621306,85,365.7743,482.7076,852.4268,-47.2494,-681.2439,163.8391,996980740
857266621307,85,365.7604,482.6794,852.4382,15.8696,-695.9481,251.2616,996980740
857266621308,85,365.7911,482.6375,852.4158,51.0554,-717.8864,196.9712,996980740
857266621314,85,365.7767,482.748,852.4312,-9.5121,-647.8196,179.6939,996980740
857266621315,85,365.7665,482.6832,852.4397,52.6404,-694.6046,266.6227,996980740
857267653454,85,365.7055,482.6809,852.6685,47.8028,-795.8261,165.7356,996980741
857267653462,85,365.7938,482.7276,852.3593,142.0306,-648.561,287.2974,996980740
857267653463,85,365.7247,482.6366,852.6035,141.3851,-689.424,234.0074,996980741
857267653464,85,365.7604,482.673,852.544,82.5133,-655.3701,243.2049,996980741
857267653470,85,365.8005,482.6709,852.5875,131.9203,-633.1391,282.8347,996980741
857267653471,85,365.7484,482.6543,852.5667,68.3853,-696.2173,393.3522,996980741
857267653472,85,365.7796,482.6769,852.5198,222.0268,-640.4785,149.3226,996980740
857267653479,85,365.8053,482.6526,852.5738,-4.3632,-670.6785,197.4445,996980741
857267653486,85,365.6081,482.7997,852.4965,-13.2895,-634.3646,200.8609,996980740
857267653487,85,365.7215,482.6488,852.6182,102.7686,-510.6651,289.9456,996980741
857267653488,85,365.7568,482.6939,852.5422,-38.2801,-637.698,254.333,996980741
857267653495,85,365.6163,482.688,852.4217,42.3565,-778.3825,224.3699,996980740
857267653496,85,365.7806,482.7562,852.5046,153.3457,-721.0573,173.2211,996980740
857267669841,85,365.7658,482.6738,852.4952,93.871,-690.9769,238.8985,996980740
857267669849,85,365.7704,482.6719,852.5356,96.8972,-734.7213,240.6278,996980740
857267669857,85,365.8474,482.6738,852.464,134.9074,-709.7957,197.5853,996980740
857267669858,85,365.6912,482.6718,852.5464,130.0506,-731.2495,265.1942,996980741
857267669859,85,365.7815,482.6069,852.4863,199.5602,-671.6129,424.6988,996980740
857267669865,85,365.8024,482.6809,852.4854,96.7327,-708.0092,277.1042,996980740
857267669866,85,365.7728,482.6571,852.5394,24.0677,-594.2223,288.3826,996980741
857267669873,85,365.6729,482.7454,852.5118,43.7989,-705.7084,258.9709,996980740
