#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85004922908_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:31:22.826 CEST
#QUERYTIME 45 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857066064510,85,353.8296,435.3711,828.6181,189.1896,119.2883,259.2156,997213275
857066064511,85,353.8248,435.3585,828.5952,235.3511,133.902,251.5214,997213275
857066064512,85,353.8207,435.3477,828.5796,254.7207,104.9987,248.5575,997213275
857066064518,85,353.8371,435.3564,828.5518,172.8564,111.8059,316.8396,997213275
857066064519,85,353.807,435.3589,828.5868,242.1418,124.582,294.6543,997213275
857066064527,85,354.0463,435.215,828.7209,155.5747,238.7857,280.0194,997213275
857066064528,85,353.9939,435.0762,828.7751,195.403,216.4373,154.5833,997213275
857067113079,85,353.8561,435.3625,828.6263,155.1254,38.8505,231.9489,997213275
857067113080,85,353.8466,435.3599,828.5994,222.1702,36.0684,246.1023,997213275
857067113085,85,353.9412,435.2466,828.699,114.4132,34.0244,384.0797,997213275
857067113086,85,353.912,435.3291,828.6649,124.5544,41.7784,306.6714,997213275
857067113087,85,353.825,435.3781,828.5955,216.7739,55.7963,269.0553,997213275
857067113088,85,353.8353,435.3697,828.5739,219.5834,64.6516,287.9569,997213275
857067113094,85,353.9332,435.2159,828.6775,39.3524,64.9663,229.2044,997213275
857067113095,85,354.0209,435.2491,828.814,71.1102,42.8045,246.0056,997213275
857067113096,85,353.897,435.1901,828.8048,79.0047,210.1224,165.1783,997213275
857067113104,85,353.944,435.2382,828.6937,205.0762,31.9511,251.3363,997213275
857067129465,85,353.7571,435.369,828.5822,261.6943,105.3775,223.5555,997213275
857067129473,85,353.9466,435.2264,828.7681,257.5814,193.7824,155.7996,997213275
857067129474,85,353.9145,435.2383,828.7908,217.1048,212.3967,167.3283,997213275
857067129475,85,353.8681,435.1826,828.7468,95.9138,-22.3289,276.5162,997213275
857067129481,85,353.9113,435.2015,828.7802,140.4991,170.4811,101.5806,997213275
857067129482,85,353.9538,435.1946,828.818,10.1898,56.4134,238.2381,997213275
857067129483,85,353.9153,435.2305,828.7694,-24.8182,73.1568,218.0062,997213275
857067129484,85,354.0687,435.2373,828.8135,14.5221,198.6209,197.4423,997213275
857068161653,85,353.8698,435.4587,828.5817,130.9769,24.2354,297.2383,997213275
857068161654,85,353.8598,435.4203,828.6001,134.1987,15.69,285.3557,997213275
857068161655,85,353.8278,435.3471,828.6006,186.748,69.806,239.4956,997213275
857068161656,85,353.8376,435.3594,828.5809,180.9888,35.3775,270.8092,997213275
857068161662,85,353.8202,435.0956,828.8287,147.9668,171.3634,180.358,997213275
857068161663,85,353.9472,435.261,828.739,270.6146,71.566,220.0945,997213275
857068161664,85,353.785,435.1539,828.8146,92.2855,191.3383,198.7758,997213275
857068161672,85,353.9437,435.2014,828.7757,93.01,138.743,410.367,997213275
857068178033,85,354.058,435.2787,828.7533,114.2401,-16.232,254.8974,997213275
857068178034,85,353.9802,435.1811,828.7837,52.6829,205.2986,152.2324,997213275
857068178035,85,353.8305,435.1991,828.7674,133.2777,108.942,284.1488,997213275
857068178041,85,353.9528,435.2108,828.71,90.5014,95.2997,262.752,997213275
857068178042,85,353.9545,435.2065,828.7773,88.1278,67.3627,225.1499,997213275
857068178043,85,353.9536,435.2069,828.7934,92.0663,118.3963,218.5638,997213275
857068178044,85,353.9076,435.2194,828.7441,150.0667,130.0437,282.7003,997213275
857068178049,85,353.9359,435.1977,828.7678,186.8139,147.8727,145.0094,997213275
857068178050,85,353.9488,435.154,828.7365,127.1652,98.5738,284.8581,997213275
857068178051,85,353.9503,435.1939,828.7723,164.9485,228.8409,286.4232,997213275
857068178052,85,353.8921,435.2235,828.7674,178.6486,94.1835,191.2259,997213275
857069210224,85,353.9702,435.1436,828.7773,17.1483,21.188,103.5037,997213275
857069210230,85,353.8265,435.3822,828.5803,130.4937,19.4752,292.2118,997213275
857069210231,85,353.8276,435.1294,828.7459,159.1068,218.8224,238.1811,997213275
857069210232,85,353.9498,435.2802,828.8032,188.6462,173.3555,264.3135,997213275
857069210240,85,353.9977,435.1873,828.7896,184.0801,123.9688,223.5706,997213275
857069226601,85,353.9624,435.1105,828.7693,1.5775,124.6864,131.6716,997213275
857069226602,85,353.9673,435.1375,828.7606,74.9853,119.5173,118.8849,997213275
857069226609,85,353.8955,435.1956,828.7561,178.8603,38.0738,308.7948,997213275
857069226610,85,353.9057,435.1968,828.7237,89.3083,51.5696,243.6927,997213275
857069226611,85,353.9499,435.2021,828.7829,145.9282,112.1479,178.3789,997213275
857069226612,85,353.9529,435.2064,828.796,185.8282,117.608,212.9571,997213275
857069226617,85,353.9659,435.198,828.7582,5.158,188.7176,220.4952,997213275
857069226618,85,353.9518,435.2036,828.7821,95.7451,149.3033,164.1808,997213275
857069226619,85,353.9545,435.2106,828.7854,164.9916,110.7919,266.772,997213275
857069226620,85,353.948,435.2002,828.7816,73.0591,121.7613,299.7555,997213275
857069226621,85,353.8427,435.0543,828.777,-33.4523,104.7892,228.2148,997213275
857069226626,85,353.929,435.3152,828.7889,138.7213,43.0925,270.7584,997213275
857069226627,85,353.9406,435.2377,828.7738,103.9873,215.8528,248.6498,997213275
857070258799,85,353.9444,435.1965,828.7875,59.2021,-122.6938,155.6611,997213275
857070258800,85,353.941,435.2645,828.7904,249.085,217.3103,258.743,997213275
857070258808,85,353.9518,435.2337,828.7715,57.912,21.2695,216.9079,997213275
857070275170,85,353.9232,435.26,828.7023,82.1618,247.7146,253.1664,997213275
857070275171,85,353.8664,435.1653,828.7405,168.0601,198.8622,394.6759,997213275
857070275177,85,353.9469,435.2127,828.7777,31.2644,123.6294,267.9596,997213275
857070275178,85,353.9109,435.3138,828.7301,21.9696,68.3478,212.1603,997213275
857070275179,85,353.9701,435.2242,828.7844,1.4901,223.6311,196.0249,997213275
857070275185,85,353.912,435.2869,828.7777,35.8409,45.5939,145.3275,997213275
857070275187,85,353.9313,435.216,828.7802,216.1268,36.213,196.7336,997213275
857070275188,85,353.8897,435.1807,828.8113,44.7621,251.5263,196.7324,997213275
857070275195,85,353.9617,435.2194,828.8301,183.0622,89.9121,121.6095,997213275
857071323745,85,353.7982,435.1982,828.7535,184.356,0.2645,203.3565,997213275
857071323746,85,353.95,435.0561,828.7291,176.1115,191.4469,253.4639,997213275
857071323747,85,353.9818,435.1861,828.7595,132.0369,2.0438,358.1915,997213275
857071323754,85,353.9962,435.2575,828.8232,128.038,218.4703,252.1606,997213275
857071323755,85,353.888,435.2387,828.7573,140.0266,112.9325,25.4196,997213275
#OK
