#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85000682192_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:00:44.007 CEST
#QUERYTIME 135 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857062084136,85,398.7687,480.913,838.7896,36.9641,-47.8409,962.3313,990957418
857062084152,85,398.4713,480.9141,838.5679,-309.2721,23.7948,856.0981,990957418
857062100513,85,398.3678,481.1554,838.8938,-344.2267,-437.6659,967.1934,990953622
857062100514,85,398.6723,481.1453,838.7836,-513.873,-102.8191,418.5352,990957418
857062100522,85,398.4009,480.9056,838.837,-151.6841,-309.0704,902.2698,990953621
857062100523,85,398.4557,481.1265,838.6722,-593.293,-437.0342,870.8599,990957418
857062100525,85,398.9618,481.2145,838.6446,-513.4763,-233.5265,652.6088,990957418
857062100526,85,398.9283,481.2051,838.6914,-345.6741,-146.2498,569.6125,990957418
857062100527,85,398.8826,481.1803,838.8953,-199.4074,-145.9809,546.7878,990957417
857062100529,85,398.4803,480.8883,838.5904,-181.9731,-91.9238,957.6761,990957418
857062100545,85,398.3053,481.2271,838.9271,-457.5624,-534.767,940.3415,990953622
857062100546,85,398.4074,480.9325,839.0303,-263.2129,-449.9333,1032.8733,990953622
857063132704,85,398.502,480.9518,838.967,-223.1451,-462.098,817.3868,990957417
857063132711,85,398.721,481.2679,838.6093,-602.8114,-104.9201,886.6499,990957418
857063132712,85,398.5322,481.2472,838.7057,-335.8421,-273.859,960.2189,990957418
857063132719,85,398.6348,481.1698,838.8752,-357.6268,-339.1337,1152.2058,990957417
857063132720,85,398.6349,481.2266,838.9501,-403.011,-194.3881,1124.5616,990957417
857063132736,85,398.6143,480.9297,838.6672,-295.2071,134.3001,920.3801,990957418
857063149081,85,398.6866,481.0318,838.8098,-386.968,-45.4772,543.0732,990957418
857063149082,85,398.6812,481.1651,838.7949,-236.7614,-215.5198,863.9955,990957418
857063149083,85,398.4979,480.9828,838.9069,-230.1102,-69.9449,587.2339,990957417
857063149084,85,398.5746,481.0252,838.7258,-142.9978,-215.735,798.5095,990957418
857063149085,85,398.5922,481.1632,838.8937,-637.5148,-358.7857,794.2531,990957417
857063149086,85,398.5399,480.9934,838.7396,-152.0916,-247.7655,661.7428,990957418
857063149087,85,398.6285,481.2574,838.9481,-258.8066,-299.1783,630.0857,990957417
857063149089,85,398.8063,481.0735,838.7043,-214.0448,-421.9822,819.3492,990957418
857063149090,85,398.7356,481.0465,838.7883,-352.2817,-165.103,849.9081,990957418
857063149091,85,398.6938,481.1227,838.7866,-217.397,-16.6331,799.2809,990957418
857063149092,85,398.6049,480.9735,838.7271,-579.7959,-257.0074,1032.9827,990957418
857063149093,85,398.5804,481.0183,838.8057,-180.8959,-96.1386,623.5701,990957418
857063149094,85,398.5061,481.1021,838.8306,-163.2225,-285.2715,815.0281,990957418
857063149095,85,398.7451,481.1996,838.9397,-280.9373,-196.9333,623.8391,990957417
857063149097,85,398.5976,481.0917,838.6251,-467.4479,-67.1369,895.7168,990957418
857063149098,85,398.5385,481.1572,838.736,-183.828,-537.5269,869.5633,990957418
857063149099,85,398.6188,480.9946,838.757,-444.4023,-572.2138,823.4319,990957418
857063149100,85,398.5959,480.9873,838.7131,-496.1516,-555.0721,764.5367,990957418
857063149101,85,398.6166,481.1412,838.7444,-322.0145,-89.417,535.4443,990957418
857063149102,85,398.4157,480.8383,838.6475,-330.4804,-344.1987,821.4606,990953621
857063149104,85,398.4365,481.019,838.4244,-481.2209,-279.2404,809.5162,990953621
857063149105,85,398.5299,481.1502,839.0292,-470.4986,-284.4838,853.6608,990957417
857063149106,85,398.5667,481.2995,838.7816,-476.2255,-70.1228,757.3522,990957418
857063149113,85,398.6355,481.0534,838.7192,-214.071,233.5312,918.6306,990957418
857063149115,85,398.6116,481.0642,838.9756,-472.4325,-266.1513,646.0554,990957417
857063149116,85,398.6346,481.0546,838.7435,-342.4966,278.6321,944.2849,990957418
857063149123,85,398.6479,481.0318,838.7654,-305.6461,159.9363,814.1294,990957418
857063149124,85,398.6658,481.0416,838.7482,-59.9399,289.3749,949.0002,990957418
857063149137,85,398.2694,481.2434,838.8597,-544.726,-517.3882,945.0529,990953621
857063165497,85,398.5471,480.9597,838.6923,-730.2236,-198.6384,1156.4818,990957418
857064181193,85,398.7614,481.22,838.8649,-391.0935,0.8728,1148.138,990957418
857064181201,85,398.642,481.3386,838.8863,-449.594,98.0314,1021.3311,990957417
857064181202,85,398.757,481.0591,838.6468,-269.8816,96.0591,1110.2275,990957418
857064181203,85,398.6314,480.771,838.5841,-172.965,89.2045,928.581,990957418
857064181204,85,398.6055,480.7246,838.5953,-155.7233,87.4796,908.0668,990957418
857064181209,85,398.7156,481.2301,838.7565,-419.6287,193.4379,871.7285,990957418
857064181251,85,398.6071,481.031,839.0656,-12.2365,-96.3629,623.1722,990957417
857064181262,85,398.6518,481.1354,838.6994,-150.8521,-606.1749,612.3267,990957418
857064181263,85,398.578,481.1647,838.7822,-127.9421,-79.7078,731.2637,990957418
857064181264,85,398.5744,480.8914,838.6036,-441.7124,-214.2141,884.5475,990957418
857064181268,85,398.3692,481.0485,838.6739,-417.3848,5.0084,768.7579,990953621
857064181271,85,398.5565,481.3457,838.8826,-262.488,-383.3255,581.1816,990957417
857064181272,85,398.5832,481.0621,838.7731,-481.7429,98.9645,1097.1042,990957418
857064181277,85,398.4441,481.2974,838.9238,-301.747,-316.4835,972.608,990957417
857064181278,85,398.5961,481.2445,838.6775,-472.5434,-289.8542,1132.6409,990957418
857064181280,85,398.5251,481.3046,838.7291,-337.2947,-372.1906,867.8366,990957418
857064181286,85,398.6035,481.3519,838.8137,-501.5384,-213.2428,1040.4419,990957418
857064181287,85,398.6022,481.1046,838.884,-355.1781,-539.7821,734.6658,990957417
857064181288,85,398.4909,481.0698,838.7625,-469.7395,-480.6292,878.4127,990957418
857064181294,85,398.6586,481.0911,838.548,-365.7351,11.429,973.8856,990957418
857064181295,85,398.6399,481.1703,838.8119,-586.3088,-82.6269,1156.4034,990957418
857064181303,85,398.586,481.0998,838.8499,-264.7334,148.2908,755.495,990957418
857064181304,85,398.7128,481.2133,838.9952,-412.0236,-353.0955,746.6876,990957417
857064181311,85,398.5437,480.8373,838.6296,-236.9017,29.3748,847.335,990957418
857064181312,85,398.5624,481.2395,839.1047,-362.4559,-319.9576,783.0234,990957417
857064197649,85,398.5045,481.0332,838.8218,-569.7339,-507.5676,695.4325,990957418
857064197650,85,398.6901,481.1139,838.7996,-388.2043,-66.0031,1078.3567,990957418
857064197653,85,398.7023,481.0393,838.7607,-512.1573,-224.1817,950.3693,990957418
857064197654,85,398.5278,481.0399,838.6678,-107.1796,-347.4049,805.5679,990957418
857064197657,85,398.7155,481.1463,838.8343,-399.7747,-89.9575,555.6208,990957418
857064197658,85,398.5753,481.0522,838.7535,-294.1678,-593.2852,1017.1934,990957418
857064197659,85,398.6106,481.0712,838.7732,-249.8538,-652.4111,1018.5663,990957418
857064197660,85,398.6541,481.0977,838.8762,-585.6797,-393.9523,803.9411,990957417
857064197661,85,398.5882,481.1943,838.8903,-370.1133,-370.6091,545.2213,990957417
857064197662,85,398.5652,481.1067,838.8321,-281.873,-217.6363,889.0165,990957418
857064197663,85,398.6046,481.087,838.7576,-428.4106,-99.5409,649.2121,990957418
857064197664,85,398.6079,481.1411,838.9418,-229.5953,-121.7921,855.3556,990957417
857064197665,85,398.6948,481.1122,838.7305,-386.1458,-232.5804,703.36,990957418
857064197666,85,398.602,480.9904,838.7859,-517.637,-254.4925,996.3832,990957418
857064197667,85,398.7466,481.0754,838.6753,-450.1776,-437.0657,804.4623,990957418
857064197668,85,398.6183,480.9626,838.795,-526.1578,-350.305,849.2448,990957418
857064197669,85,398.63,481.0822,838.7505,-248.8411,-324.5023,652.1755,990957418
857064197670,85,398.6114,481.0835,838.7756,-362.9562,-333.514,909.1552,990957418
857064197671,85,398.7206,481.0292,838.7226,-417.1966,-273.6336,899.824,990957418
857064197672,85,398.4705,481.0875,838.5652,-494.7882,-216.853,782.5838,990957418
857064197674,85,398.6956,481.1421,838.751,-230.4829,-362.1967,815.6798,990957418
857064197675,85,398.5005,480.9141,838.6129,-286.996,-427.1027,704.4292,990957418
857064197676,85,398.6618,481.2133,838.8398,-695.7715,-280.4007,645.248,990957418
857064197677,85,398.7021,481.1288,838.7044,-483.7441,-432.1918,842.9254,990957418
857064197678,85,398.5485,481.0792,838.7551,-70.032,-214.8965,771.2596,990957418
857064197679,85,398.4989,481.0723,838.7585,-328.0847,-364.8653,689.7266,990957418
857064197680,85,398.7787,481.1774,838.7378,-427.5781,-291.3252,909.853,990957418
857064197681,85,398.6555,481.1556,838.78,-121.215,-4.4626,663.2761,990957418
857064197682,85,398.6215,481.1228,838.8021,-128.0824,135.9426,790.317,990957418
857064197683,85,398.7179,481.1864,838.9219,-268.9699,-263.5285,927.9229,990957417
857064197684,85,398.6182,481.1046,838.7672,-372.4709,273.2679,1020.0568,990957418
857064197686,85,398.7213,481.1354,838.9427,-487.8846,26.9009,866.5621,990957417
857064197687,85,398.7945,480.9973,838.7925,-353.98,-249.69,1138.9108,990957418
857064197689,85,398.6813,481.1431,839.0944,-381.6997,-315.1687,737.5554,990957417
857064197690,85,398.6612,481.07,838.7391,-166.3315,80.3889,1065.9159,990957418
857064197691,85,398.6531,481.0415,838.7394,-254.2527,246.8862,921.0492,990957418
857064197692,85,398.6628,481.0542,838.7488,-249.7244,165.2023,848.4749,990957418
857064197693,85,398.6573,481.0537,838.7247,-198.1146,140.3128,1075.9717,990957418
857064197694,85,398.7003,481.0021,838.7568,-115.7842,41.6828,972.0417,990957418
857064197695,85,398.6805,480.8799,838.8729,-209.7405,-7.0347,988.3903,990957417
857064197697,85,398.6798,481.0357,838.7008,-317.7442,142.0442,1056.7751,990957418
857064197698,85,398.6836,481.0462,838.723,-223.4219,205.2614,971.9186,990957418
857064197699,85,398.6751,481.057,838.737,-265.8686,92.8185,1002.9551,990957418
