"row_id","fofId","mass","np","m.np"
44188,416000999900,37681700864,275,275
44189,416000505370,81392500736,594,594
44190,416000224950,201562996736,1471,1471
44191,416001087870,34256099328,250,250
44192,416000001150,40925598318592,298674,298674
44193,416000503110,81803599872,597,597
44194,416001166370,31652700160,231,231
44195,416000983630,38366900224,280,280
44196,416000577380,70019497984,511,511
44197,416000410190,102905004032,751,751
44198,416000321040,135517003776,989,989
44199,416000783500,49602899968,362,362
44200,416000286150,154016006144,1124,1124
44201,416001274090,28638099456,209,209
44202,416000191120,241711005696,1764,1764
44203,416001301090,27953000448,204,204
44204,416001263070,28912199680,211,211
44205,416001144400,32337799168,236,236
44206,416000034570,1573860016128,11486,11486
44207,416001257770,29049200640,212,212
44208,416000817550,47273398272,345,345
44209,416000544340,74815397888,546,546
44210,416000545290,74678296576,545,545
44211,416000669880,59194601472,432,432
44212,416000043330,1238979969024,9042,9042
44213,416000663170,59879698432,437,437
44214,416000133770,359825997824,2626,2626
44215,416001279010,28501100544,208,208
44216,416000811280,47684501504,348,348
44217,416000839040,45903200256,335,335
44218,416000363200,117977997312,861,861
44219,416000697460,56591101952,413,413
44220,416001148660,32200800256,235,235
44221,416000706400,55769001984,407,407
44222,416000314730,138531995648,1011,1011
44223,416000722160,54398701568,397,397
44224,416000575460,70293602304,513,513
44225,416000155490,304605003776,2223,2223
44226,416000794960,48780701696,356,356
44227,416000956540,39600099328,289,289
44228,416000452020,92217499648,673,673
44229,416001064840,35078299648,256,256
44230,416000971320,38914998272,284,284
44231,416000458790,90710196224,662,662
44232,416000638590,62483202048,456,456
44233,416000728610,53850599424,393,393
44234,416000069690,738836021248,5392,5392
44235,416000759270,51384201216,375,375
44236,416000294750,149082996736,1088,1088
44237,416000149010,319404015616,2331,2331
44238,416000826000,46725300224,341,341
44239,416000656640,60564799488,442,442
44240,416001237240,29597300736,216,216
44241,416000766510,50836099072,371,371
44242,416001284490,28364099584,207,207
44243,416000138390,346535002112,2529,2529
44244,416000621600,64401498112,470,470
44245,416000883360,43299700736,316,316
44246,416000848020,45355098112,331,331
44247,416001127650,32885899264,240,240
44248,416000414590,101672001536,742,742
44249,416000791100,49054801920,358,358
44250,416000962220,39325999104,287,287
44251,416000414070,101808996352,743,743
44252,416000349830,123048001536,898,898
44253,416000115710,422309003264,3082,3082
44254,416000088880,564540997632,4120,4120
44255,416000993200,37955801088,277,277
44256,416001012410,37133598720,271,271
44257,416000916950,41518399488,303,303
44258,416001231900,29734299648,217,217
