#BDM		FOF	R_MCMC/R_BDM
8506827496 85000604971 12.285492
8506832566 85000040257 27.823967
8506843287 85000452122 8.758776
8506804425 85000124018 7.709064
8506813642 85007129677 8.637667
8506821128 85000117789 6.754147
8506806089 85000044937 7.454535
8506819539 85001399109 7.558066
8506833803 85000047486 16.382170
8506820090 85000284889 9.872424
8506829927 85000646117 7.405545
8506823540 85000460232 5.769637
8506822069 85001142476 5.359490
8506839970 85000068410 5.699917
8506829160 85000187659 15.262939
8506848524 85000000505 6.249149
8506851400 85000271662 6.622946
8506842060 85000666950 6.151869
8506830790 85000047486 5.344399
8506824188 85000055743 6.989095
8506836254 85004691069 5.683890
8506852141 85000152637 7.882256
8506811301 85000087871 5.909963
8506801525 85000436257 8.398537
8506817002 85000858808 5.022216
8506850396 85004062914 11.533447
8506852243 85000039793 15.859466
8506807699 85007012601 5.179783
8506814897 85006477033 41.889123
8506825672 85000053109 5.889527
8506846346 85000058677 10.433798
8506850353 85000950029 5.546321
8506829766 85000564979 5.178903
8506812217 85000385851 6.499339
