#OK
#SQL= select fofID, mass, np from miniMDR1..FOF as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:38:29.711 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofID,mass,np
85000161500,2.13228454E13,2445
85000163133,2.11309832E13,2423
85000164583,2.09652831E13,2404
85000166140,2.07908629E13,2384
85000168686,2.05117928E13,2352
85000170625,2.03112086E13,2329
85000174496,1.99187644E13,2284
85000175602,1.98053902E13,2271
85000175968,1.97705083E13,2267
85000177025,1.96658562E13,2255
85000177103,1.96571342E13,2254
85000178222,1.95437621E13,2241
85000180106,1.936062E13,2220
85000182242,1.91600379E13,2197
85000182439,1.91425958E13,2195
85000183146,1.90728257E13,2187
85000183224,1.90641057E13,2186
85000184182,1.89768957E13,2176
85000189075,1.85408453E13,2126
85000189257,1.85234033E13,2124
85000191230,1.83489853E13,2104
85000192389,1.82530532E13,2093
85000192706,1.82268912E13,2090
85000192794,1.82181691E13,2089
85000193208,1.81832851E13,2085
85000194923,1.8035027E13,2068
85000196891,1.78780509E13,2050
85000197536,1.78257249E13,2044
85000200477,1.75989787E13,2018
85000202126,1.74681626E13,2003
85000202910,1.74071155E13,1996
85000203989,1.73286265E13,1987
85000203990,1.73286265E13,1987
85000204092,1.73199065E13,1986
85000204546,1.72850214E13,1982
85000206725,1.71193223E13,1963
85000208047,1.70233923E13,1952
85000208750,1.69710662E13,1946
85000211156,1.67966461E13,1926
85000211263,1.67879262E13,1925
85000211536,1.6770482E13,1923
85000212778,1.6683273E13,1913
85000215416,1.65001329E13,1892
85000215669,1.64826899E13,1890
85000215801,1.64739689E13,1889
85000217149,1.63780378E13,1878
85000217413,1.63605958E13,1876
85000218505,1.62908277E13,1868
85000218501,1.62908277E13,1868
85000219111,1.62472227E13,1863
85000223085,1.59855925E13,1833
85000223518,1.59594295E13,1830
85000224978,1.58634995E13,1819
85000225269,1.58460564E13,1817
85000225408,1.58373364E13,1816
85000225576,1.58286154E13,1815
85000226230,1.57850093E13,1810
85000227672,1.56977993E13,1800
85000228217,1.56629163E13,1796
85000231615,1.54536121E13,1772
85000232199,1.54187271E13,1768
85000232349,1.54100071E13,1767
85000233370,1.53489601E13,1760
85000233509,1.53402391E13,1759
85000237392,1.51134929E13,1733
85000237529,1.51047729E13,1732
85000239251,1.50088408E13,1721
85000240925,1.49129097E13,1710
85000241714,1.48693047E13,1705
85000241984,1.48518637E13,1703
85000242793,1.48082577E13,1698
85000244529,1.47123276E13,1687
85000245003,1.46861636E13,1684
85000245500,1.46600005E13,1681
85000246204,1.46251176E13,1677
85000248788,1.44855815E13,1661
85000250582,1.43896504E13,1650
85000250765,1.43809283E13,1649
85000250909,1.43722084E13,1648
85000251904,1.43198823E13,1642
85000252076,1.43111613E13,1641
85000253665,1.42326723E13,1632
85000254861,1.41716252E13,1625
85000261079,1.386639E13,1590
85000261267,1.3857669E13,1589
85000261618,1.3840227E13,1587
85000262340,1.38053429E13,1583
85000263260,1.37617379E13,1578
85000264189,1.37181329E13,1573
85000264539,1.37006919E13,1571
85000265667,1.36483648E13,1565
85000266690,1.36047598E13,1560
85000268311,1.35262718E13,1551
85000269445,1.34739457E13,1545
85000270584,1.34216187E13,1539
85000271943,1.33605727E13,1532
85000272510,1.33344096E13,1529
85000272919,1.33169666E13,1527
85000274109,1.32646405E13,1521
85000274868,1.32297565E13,1517
85000274885,1.32297565E13,1517
85000275279,1.32123155E13,1515
85000275663,1.31948735E13,1513
85000277054,1.31338265E13,1506
85000280121,1.30030103E13,1491
85000281658,1.29332433E13,1483
85000281680,1.29332433E13,1483
85000282134,1.29158003E13,1481
85000284157,1.28285913E13,1471
85000285215,1.27849862E13,1466
85000285660,1.27675442E13,1464
85000286737,1.27239392E13,1459
85000287386,1.26977762E13,1456
85000287576,1.26890552E13,1455
85000289552,1.26105661E13,1446
85000291753,1.2523356E13,1436
85000291968,1.2514635E13,1435
85000293749,1.2444867E13,1427
85000294195,1.2427425E13,1425
85000295513,1.23750989E13,1419
85000298263,1.22704468E13,1407
85000298758,1.22530048E13,1405
85000299885,1.22094008E13,1400
85000300833,1.21745158E13,1396
85000301045,1.21657948E13,1395
85000302425,1.21134687E13,1389
85000303636,1.20698647E13,1384
85000303637,1.20698647E13,1384
85000304103,1.20524217E13,1382
85000306222,1.19739326E13,1373
85000307431,1.19303286E13,1368
85000310078,1.18343976E13,1357
85000310347,1.18256755E13,1356
85000311309,1.17907915E13,1352
85000312026,1.17646285E13,1349
85000312487,1.17471864E13,1347
85000312915,1.17297455E13,1345
85000315354,1.16425354E13,1335
85000318253,1.15466033E13,1324
85000318489,1.15378833E13,1323
85000319702,1.14942783E13,1318
85000320482,1.14681153E13,1315
85000320979,1.14506733E13,1313
85000321723,1.14245102E13,1310
85000324660,1.13285792E13,1299
85000325452,1.13024162E13,1296
85000325995,1.12849741E13,1294
85000326025,1.12849741E13,1294
85000326561,1.12675321E13,1292
85000326815,1.12588101E13,1291
85000329346,1.11803221E13,1282
85000331522,1.1110554E13,1274
85000331555,1.1110554E13,1274
85000333791,1.1040786E13,1266
85000335890,1.09797389E13,1259
85000337823,1.09186919E13,1252
85000338421,1.09012499E13,1250
85000339016,1.08838078E13,1248
85000340747,1.08314828E13,1242
85000342220,1.07878768E13,1237
85000342505,1.07791558E13,1236
85000343407,1.07529927E13,1233
85000343697,1.07442728E13,1232
85000344565,1.07181098E13,1229
85000345091,1.07006667E13,1227
85000346259,1.06657837E13,1223
85000346559,1.06570617E13,1222
85000347752,1.06221776E13,1218
85000348601,1.05960146E13,1215
85000349238,1.05785737E13,1213
85000351804,1.05088046E13,1205
85000354263,1.04390376E13,1197
85000354568,1.04303165E13,1196
85000355192,1.04128745E13,1194
85000355160,1.04128745E13,1194
85000355858,1.03954315E13,1192
85000356133,1.03867105E13,1191
85000356778,1.03692684E13,1189
85000357068,1.03605474E13,1188
85000359403,1.02995014E13,1181
85000359677,1.02907804E13,1180
85000360987,1.02558964E13,1176
85000362959,1.02035704E13,1170
85000364547,1.01599653E13,1165
85000365214,1.01425233E13,1163
85000366230,1.01163603E13,1160
85000367260,1.00901973E13,1157
85000367298,1.00901973E13,1157
85000367299,1.00901973E13,1157
85000370276,1.00117082E13,1148
85000371293,9.9855452E12,1145
85000371665,9.9768242E12,1144
85000372712,9.9506612E12,1141
85000373374,9.9332192E12,1139
85000374484,9.9070561E12,1136
85000376523,9.8547301E12,1130
85000377605,9.8285671E12,1127
85000378664,9.8024041E12,1124
85000379050,9.7936831E12,1123
85000379085,9.7936831E12,1123
85000380430,9.758799E12,1119
85000381554,9.732636E12,1116
85000381879,9.723915E12,1115
85000382663,9.706473E12,1113
85000385957,9.6279839E12,1104
85000386745,9.6105419E12,1102
85000387444,9.5930999E12,1100
85000387767,9.5843789E12,1099
85000388169,9.5756579E12,1098
85000390039,9.5320529E12,1093
85000390841,9.5146109E12,1091
85000391212,9.5058898E12,1090
85000391628,9.4971688E12,1089
85000391964,9.4884478E12,1088
85000393056,9.4622848E12,1085
85000393057,9.4622848E12,1085
85000394168,9.4361218E12,1082
85000394935,9.4186798E12,1080
85000395323,9.4099588E12,1079
85000395319,9.4099588E12,1079
85000396435,9.3837958E12,1076
85000397906,9.3489117E12,1072
85000398263,9.3401918E12,1071
85000398631,9.3314697E12,1070
85000399020,9.3227487E12,1069
85000399439,9.3140287E12,1068
85000399431,9.3140287E12,1068
85000400160,9.2965857E12,1066
85000400651,9.2878657E12,1065
85000402979,9.2355386E12,1059
85000403359,9.2268187E12,1058
85000404187,9.2093756E12,1056
85000404676,9.2006557E12,1055
85000406231,9.1657716E12,1051
85000406228,9.1657716E12,1051
85000406656,9.1570496E12,1050
85000409125,9.1047235E12,1044
85000410311,9.0785605E12,1041
85000410737,9.0698395E12,1040
85000411107,9.0611196E12,1039
85000411517,9.0523986E12,1038
85000411546,9.0523986E12,1038
85000413135,9.0175135E12,1034
85000413935,9.0000725E12,1032
85000413946,9.0000725E12,1032
85000413993,9.0000725E12,1032
85000415227,8.9739095E12,1029
85000415732,8.9651885E12,1028
85000416557,8.9477465E12,1026
85000416945,8.9390255E12,1025
85000416944,8.9390255E12,1025
85000417373,8.9303034E12,1024
85000418642,8.9041404E12,1021
85000419998,8.8779774E12,1018
85000421686,8.8430933E12,1014
85000421687,8.8430933E12,1014
85000422112,8.8343734E12,1013
85000426092,8.7558838E12,1004
85000426475,8.7471633E12,1003
85000426902,8.7384423E12,1002
85000427770,8.7209998E12,1000
85000428252,8.7122793E12,999
85000428692,8.7035578E12,998
85000428743,8.7035578E12,998
85000428752,8.7035578E12,998
85000430967,8.6599533E12,993
85000432373,8.6337902E12,990
85000433747,8.6076272E12,987
85000434146,8.5989062E12,986
85000434192,8.5989062E12,986
85000435122,8.5814637E12,984
85000435959,8.5640227E12,982
85000436893,8.5465802E12,980
85000436892,8.5465802E12,980
85000436946,8.5465802E12,980
85000437827,8.5291376E12,978
85000437818,8.5291376E12,978
85000439150,8.5029746E12,975
85000439608,8.4942541E12,974
85000440573,8.4768116E12,972
85000440525,8.4768116E12,972
85000443525,8.4244861E12,966
85000444015,8.4157645E12,965
85000446443,8.37216E12,960
85000447405,8.354718E12,958
85000447815,8.345997E12,957
85000448294,8.3372765E12,956
85000448799,8.3285545E12,955
85000449326,8.319834E12,954
85000450328,8.3023915E12,952
85000450851,8.293671E12,951
85000451385,8.28495E12,950
85000452377,8.267508E12,948
85000454836,8.2239034E12,943
85000455336,8.2151814E12,942
85000455385,8.2151814E12,942
85000455815,8.2064609E12,941
85000456319,8.1977404E12,940
85000457276,8.1802979E12,938
85000457852,8.1715774E12,937
85000459348,8.1454139E12,934
85000462027,8.1018088E12,929
85000462501,8.0930878E12,928
85000464011,8.0669248E12,925
85000464012,8.0669248E12,925
85000464512,8.0582043E12,924
85000465451,8.0407623E12,922
85000466546,8.0233198E12,920
85000469213,7.9797147E12,915
85000469212,7.9797147E12,915
85000471862,7.9361097E12,910
85000473461,7.9099467E12,907
85000474583,7.8925047E12,905
85000475082,7.8837842E12,904
85000476688,7.8576212E12,901
85000477767,7.8401792E12,899
85000477778,7.8401792E12,899
85000477830,7.8401792E12,899
85000478927,7.8227366E12,897
85000481636,7.7791316E12,892
85000481713,7.7791316E12,892
85000481634,7.7791316E12,892
85000482804,7.7616901E12,890
85000483328,7.7529691E12,889
85000483329,7.7529691E12,889
85000483879,7.7442481E12,888
85000484931,7.7268061E12,886
85000485523,7.7180851E12,885
85000486010,7.7093635E12,884
85000486642,7.7006431E12,883
85000487175,7.691922E12,882
85000487227,7.691922E12,882
85000489923,7.648317E12,877
85000490539,7.639596E12,876
85000491617,7.622154E12,874
85000492227,7.613433E12,873
85000492800,7.604712E12,872
85000493414,7.595991E12,871
85000493982,7.58727E12,870
85000495692,7.5611069E12,867
85000496792,7.5436649E12,865
85000499240,7.5087809E12,861
85000499773,7.5000599E12,860
85000499774,7.5000599E12,860
85000502757,7.4564549E12,855
85000503316,7.4477339E12,854
85000503859,7.4390134E12,853
85000503857,7.4390134E12,853
85000504494,7.4302918E12,852
85000507506,7.3866868E12,847
85000507501,7.3866868E12,847
85000511121,7.3343608E12,841
85000512259,7.3169188E12,839
85000512957,7.3081983E12,838
85000513524,7.2994773E12,837
85000513592,7.2994773E12,837
85000514185,7.2907557E12,836
85000514243,7.2907557E12,836
85000514832,7.2820353E12,835
85000521210,7.1948252E12,825
85000522471,7.1773827E12,823
85000522534,7.1773827E12,823
85000525114,7.1424992E12,819
85000526437,7.1250571E12,817
85000526380,7.1250571E12,817
85000527102,7.1163361E12,816
85000527730,7.1076151E12,815
85000529795,7.0814521E12,812
85000529785,7.0814521E12,812
85000530490,7.0727311E12,811
85000531082,7.0640096E12,810
85000532370,7.0465681E12,808
85000533705,7.0291261E12,806
85000535055,7.0116841E12,804
85000538543,6.968079E12,799
85000539294,6.959358E12,798
85000539305,6.959358E12,798
85000539293,6.959358E12,798
85000540023,6.950637E12,797
85000540737,6.941916E12,796
85000540732,6.941916E12,796
85000540669,6.941916E12,796
85000541280,6.933195E12,795
85000541999,6.924474E12,794
85000542751,6.915753E12,793
85000543360,6.907032E12,792
85000543411,6.907032E12,792
85000544080,6.898311E12,791
85000544727,6.88959E12,790
85000544728,6.88959E12,790
85000546922,6.8634269E12,787
85000547644,6.8547059E12,786
85000548352,6.8459849E12,785
85000549750,6.8285429E12,783
85000554101,6.7762169E12,777
85000554173,6.7762169E12,777
85000554851,6.7674959E12,776
85000554853,6.7674959E12,776
85000554920,6.7674959E12,776
85000557865,6.7326118E12,772
85000557780,6.7326118E12,772
85000559226,6.7151698E12,770
85000560060,6.7064494E12,769
85000561507,6.6890068E12,767
85000563064,6.6715648E12,765
85000565209,6.6454018E12,762
85000566153,6.6366813E12,761
85000567588,6.6192388E12,759
85000567578,6.6192388E12,759
85000568349,6.6105183E12,758
85000569174,6.6017967E12,757
85000569175,6.6017967E12,757
85000569096,6.6017967E12,757
85000570686,6.5843547E12,755
85000571329,6.5756337E12,754
85000571340,6.5756337E12,754
85000572071,6.5669132E12,753
85000573630,6.5494712E12,751
85000574350,6.5407502E12,750
85000575157,6.5320287E12,749
85000575870,6.5233082E12,748
85000575962,6.5233082E12,748
85000577641,6.5058662E12,746
85000578338,6.4971452E12,745
85000578422,6.4971452E12,745
85000581590,6.4622612E12,741
85000581589,6.4622612E12,741
85000582417,6.4535402E12,740
85000582344,6.4535402E12,740
85000583147,6.4448186E12,739
85000583148,6.4448186E12,739
85000584000,6.4360981E12,738
85000586340,6.4099351E12,735
85000587227,6.4012141E12,734
85000588841,6.3837721E12,732
85000588759,6.3837721E12,732
85000590393,6.3663301E12,730
85000590462,6.3663301E12,730
85000591955,6.3488881E12,728
85000592031,6.3488881E12,728
85000591956,6.3488881E12,728
85000593655,6.3314455E12,726
85000593640,6.3314455E12,726
85000594480,6.3227251E12,725
85000594400,6.3227251E12,725
85000595355,6.3140041E12,724
85000595350,6.3140041E12,724
85000596103,6.305283E12,723
85000596953,6.296562E12,722
85000597737,6.287841E12,721
85000597736,6.287841E12,721
85000598693,6.27912E12,720
85000598605,6.27912E12,720
85000598692,6.27912E12,720
85000599372,6.270399E12,719
85000600278,6.261678E12,718
85000602820,6.235515E12,715
85000604476,6.218073E12,713
85000604474,6.218073E12,713
85000604475,6.218073E12,713
85000605320,6.209352E12,712
85000607079,6.19191E12,710
85000608028,6.183189E12,709
85000608918,6.1744679E12,708
85000609670,6.1657469E12,707
85000609657,6.1657469E12,707
85000610566,6.1570259E12,706
85000611470,6.1483049E12,705
85000612302,6.1395839E12,704
85000614191,6.1221419E12,702
85000614190,6.1221419E12,702
85000614176,6.1221419E12,702
85000615000,6.1134209E12,701
85000615908,6.1047004E12,700
85000617723,6.0872579E12,698
85000618622,6.0785369E12,697
85000618627,6.0785369E12,697
85000620297,6.0610954E12,695
85000620378,6.0610954E12,695
85000620485,6.0610954E12,695
85000620468,6.0610954E12,695
85000623093,6.0349324E12,692
85000623106,6.0349324E12,692
85000623890,6.0262108E12,691
85000625636,6.0087688E12,689
85000627566,5.9913273E12,687
85000628577,5.9826058E12,686
85000629514,5.9738848E12,685
85000629501,5.9738848E12,685
85000631494,5.9564428E12,683
85000631485,5.9564428E12,683
85000633308,5.9390008E12,681
85000634150,5.9302798E12,680
85000636113,5.9128378E12,678
85000636953,5.9041173E12,677
85000639012,5.8866747E12,675
85000639011,5.8866747E12,675
85000639941,5.8779542E12,674
85000640780,5.8692327E12,673
85000642679,5.8517912E12,671
85000643652,5.8430697E12,670
85000643746,5.8430697E12,670
85000644723,5.8343492E12,669
85000644599,5.8343492E12,669
85000644724,5.8343492E12,669
85000646599,5.8169072E12,667
85000646600,5.8169072E12,667
85000646621,5.8169072E12,667
85000647609,5.8081862E12,666
85000647610,5.8081862E12,666
85000648486,5.7994647E12,665
85000649350,5.7907442E12,664
85000649554,5.7907442E12,664
85000649565,5.7907442E12,664
85000649442,5.7907442E12,664
85000649553,5.7907442E12,664
85000650405,5.7820232E12,663
85000651535,5.7733016E12,662
85000652531,5.7645812E12,661
85000653505,5.7558596E12,660
85000657487,5.7209761E12,656
85000657492,5.7209761E12,656
85000661320,5.6860916E12,652
85000661449,5.6860916E12,652
85000662285,5.6773711E12,651
85000662300,5.6773711E12,651
85000663481,5.6686501E12,650
85000663371,5.6686501E12,650
85000664369,5.6599291E12,649
85000665459,5.6512081E12,648
85000667447,5.6337661E12,646
85000667344,5.6337661E12,646
85000668304,5.6250451E12,645
85000668527,5.6250451E12,645
85000668526,5.6250451E12,645
85000669462,5.6163241E12,644
85000669562,5.6163241E12,644
85000670641,5.607603E12,643
85000671461,5.598882E12,642
85000671664,5.598882E12,642
85000671555,5.598882E12,642
85000672720,5.590161E12,641
85000673737,5.58144E12,640
85000674794,5.572719E12,639
85000674795,5.572719E12,639
85000675767,5.563998E12,638
85000676782,5.555277E12,637
85000677800,5.546556E12,636
85000681178,5.520393E12,633
85000682192,5.511672E12,632
85000682203,5.511672E12,632
85000682208,5.511672E12,632
85000683352,5.502951E12,631
85000684510,5.49423E12,630
85000686499,5.4767879E12,628
85000686604,5.4767879E12,628
85000686606,5.4767879E12,628
85000686704,5.4767879E12,628
85000687711,5.4680669E12,627
85000687816,5.4680669E12,627
85000688860,5.4593459E12,626
85000689813,5.4506249E12,625
85000689829,5.4506249E12,625
85000690876,5.4419039E12,624
85000691971,5.4331829E12,623
85000694183,5.4157414E12,621
85000695418,5.4070199E12,620
85000697594,5.3895779E12,618
85000699957,5.3721364E12,616
85000699974,5.3721364E12,616
85000701138,5.3634149E12,615
85000705720,5.3285308E12,611
85000708036,5.3110888E12,609
85000708037,5.3110888E12,609
85000709159,5.3023683E12,608
85000709033,5.3023683E12,608
85000709142,5.3023683E12,608
85000710217,5.2936468E12,607
85000711427,5.2849258E12,606
85000712701,5.2762053E12,605
85000712681,5.2762053E12,605
85000713787,5.2674838E12,604
85000717405,5.2413208E12,601
85000718588,5.2326003E12,600
