#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85007375869_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-08 17:44:28.265 CEST
#QUERYTIME 54 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
853908214874,85,492.9058,526.0854,452.4248,-717.7476,-714.6747,26.5562,215647093
853908214883,85,492.9594,526.1545,452.5328,-584.7034,-673.1949,-163.1168,215647093
853908214891,85,492.9437,526.2325,452.5413,-645.5861,-640.1302,-213.8027,215647093
853909263442,85,492.8725,526.0539,452.4393,-703.9675,-585.7451,-320.9023,215647093
853909263450,85,493.0255,526.0302,452.3896,-632.3649,-681.8408,-145.655,215647093
853909263451,85,492.8229,526.1085,452.3687,-659.1418,-665.8807,-180.2759,215647093
853909263458,85,492.8894,526.1329,452.4891,-710.6046,-696.3346,-252.1647,215647093
853909263459,85,492.9006,526.1049,452.4411,-611.3739,-677.9249,-126.581,215647093
853909263460,85,492.9445,526.0432,452.4944,-568.3886,-731.79,-330.9053,215647093
853909263467,85,492.862,526.0944,452.4053,-749.3265,-763.4216,-259.0864,215647093
853909263468,85,492.9302,526.075,452.4106,-665.958,-740.8215,-298.4776,215647093
853909263476,85,492.875,526.1167,452.4654,-630.1533,-601.2078,-232.86,215647093
853910312017,85,492.9532,526.1249,452.5356,-664.5784,-762.4208,-65.3666,215647093
853910312018,85,492.8778,526.138,452.3671,-542.176,-652.9876,-185.9221,215647093
853910312019,85,492.9114,526.0555,452.4554,-696.0636,-845.3815,-230.642,215647093
853910312026,85,492.8447,526.0754,452.5067,-646.0249,-744.0381,-172.5651,215647093
853910312027,85,492.8942,526.0585,452.4034,-592.5364,-708.5266,-128.2172,215647093
853910312028,85,492.8981,526.0576,452.419,-552.1505,-783.2409,-269.7284,215647093
853910312034,85,492.8748,526.1171,452.4073,-678.9255,-707.8916,-332.1972,215647093
853910312035,85,492.8884,526.0649,452.4271,-604.8535,-797.6746,-120.3906,215647093
853910312036,85,492.8838,526.0767,452.4314,-610.9992,-685.8229,-148.1488,215647093
853910312042,85,492.9314,526.0678,452.3789,-726.6569,-578.0142,-132.3942,215647093
853910312043,85,492.8846,526.0929,452.4298,-606.108,-737.1782,-106.3993,215647093
853910312044,85,492.8772,526.0519,452.4403,-620.9017,-710.7615,-149.9652,215647093
853910312045,85,492.8359,526.0671,452.4115,-486.3544,-710.0137,-225.5914,215647093
853910312051,85,492.8005,526.1734,452.4864,-678.9705,-666.0045,-142.3619,215647093
853910312052,85,492.9035,526.0861,452.3983,-637.907,-699.3269,-93.5757,215647093
853910312053,85,492.9659,526.0423,452.4059,-629.7833,-758.8276,-173.8563,215647093
853910312061,85,492.8905,526.0443,452.5627,-684.5141,-769.7781,-221.5387,215647093
853911360595,85,492.8538,526.1093,452.4188,-539.3051,-584.8988,-266.3437,215647093
853911360602,85,492.8677,526.0646,452.4445,-577.671,-690.6892,-320.2212,215647093
853911360603,85,492.8959,526.0762,452.4008,-615.5906,-690.0729,-126.9573,215647093
853911360604,85,492.8957,526.0384,452.4292,-591.036,-741.0477,-155.6882,215647093
853911360610,85,492.8629,526.082,452.4448,-622.2389,-645.3742,-142.1704,215647093
853911360611,85,492.8922,526.0593,452.4228,-683.1211,-699.8565,-140.8078,215647093
853911360612,85,492.8876,526.0818,452.4331,-671.9994,-687.9905,-176.9641,215647093
853911360618,85,492.7941,526.1923,452.4685,-729.5769,-670.0653,-136.003,215647093
853911360619,85,492.8678,526.0595,452.368,-601.7284,-687.1524,-168.259,215647093
853911360620,85,492.8943,526.0607,452.4578,-624.6112,-764.4133,-168.5868,215647093
853911360621,85,492.9997,526.0228,452.4514,-709.0052,-690.7081,-176.0858,215647093
853911360628,85,492.8878,526.0837,452.4977,-620.1045,-774.283,-179.6561,215647093
853911360629,85,492.9906,526.0369,452.478,-637.0419,-723.6718,-156.8915,215647093
853912409177,85,492.8394,526.0048,452.3297,-600.3047,-688.3375,-231.5437,215647093
853912409178,85,492.9149,526.1094,452.4059,-532.1954,-845.3417,-205.9726,215647093
853912409179,85,492.8707,526.0792,452.4572,-568.3342,-644.7533,-269.2172,215647093
853912409186,85,492.8386,526.1139,452.476,-577.4655,-701.2616,-132.1335,215647093
853912409187,85,492.8867,526.1148,452.4395,-701.7209,-742.9024,-215.6245,215647093
853912409188,85,493.0076,526.0826,452.4925,-700.3531,-665.3702,-208.9303,215647093
853912409195,85,492.978,526.0233,452.4548,-694.1318,-720.2065,-237.9555,215647093
853912409196,85,492.8777,526.1536,452.4476,-687.4195,-735.758,-263.3555,215647093
#OK
