#OK
#SQL= select * from MDR1..BDMVprof where bdmId = 8506832133    order by Rbin
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-30 14:55:57.471 CET
#QUERYTIME 20 millisec
#COLUMN 1 name=bdmProfileId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 4 name=NinCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=R_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Rbin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 8 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=dens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=Vcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=VpropRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=Vrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=VradRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=boundR_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=boundNp JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 16 name=boundMass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=boundDens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=boundVcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=boundVcircRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=boundVrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=boundVradRms JDBC_TYPE=7 JDBC_TYPENAME=real
bdmProfileId,bdmId,snapnum,NinCat,R_Rvir,Rbin,np,mass,dens,Vcirc,VpropRms,Vrad,VradRms,boundR_Rvir,boundNp,boundMass,boundDens,boundVcirc,boundVcircRms,boundVrad,boundVradRms
8506832133019,8506832133,85,6832133,0.6106397,144.58018,2,7.6314719E11,4691.111,151.13715,85.517944,-38.721825,39.162685,0.6106397,2,7.1978654E11,4691.111,146.78069,85.517944,-38.721825,39.162685
8506832133020,8506832133,85,6832133,0.67095464,162.22162,11,8.5854061E11,18265.828,151.33784,238.29048,-11.60768,155.16687,0.66892326,8,7.8916354E11,13284.232,145.09439,178.05806,-9.804518,144.01166
8506832133021,8506832133,85,6832133,0.7600994,182.01566,15,9.8862249E11,17633.453,153.3142,484.1505,-77.39591,286.0613,0.7782776,5,8.3252419E11,5877.821,140.69077,164.91217,-37.58795,94.08751
8506832133022,8506832133,85,6832133,0.8287762,204.22493,16,1.12737649E12,13315.767,154.5616,448.60446,-55.22959,262.90518,0.8111214,4,8.6721272E11,3328.9448,135.5595,157.41275,-40.35501,81.34774
8506832133023,8506832133,85,6832133,0.9539674,229.14412,24,1.33550755E12,14140.2705,158.81454,382.02325,-7.729782,176.31807,0.9434698,10,9.5393396E11,5891.7764,134.2228,139.47758,-16.159557,75.60287
8506832133024,8506832133,85,6832133,1.0626822,257.10394,31,1.60434356E12,12930.286,164.32959,400.29584,-9.478736,204.73276,1.0720679,9,1.03198307E12,3753.9514,131.79634,137.21507,40.16293,88.31844
8506832133025,8506832133,85,6832133,1.2030612,288.4754,25,1.82114674E12,7382.201,165.28732,460.7744,-44.470848,200.56143,1.2164925,2,1.0493273E12,590.57544,125.465,124.90767,-43.23243,62.045483
8506832133026,8506832133,85,6832133,1.3417271,323.6747,41,2.17670392E12,8570.974,170.5952,427.78903,-31.810175,246.12044,1.3621781,8,1.11870437E12,1672.3864,122.29953,147.50636,2.9606616,76.129585
8506832133027,8506832133,85,6832133,1.5013535,363.16898,46,2.57562169E12,6807.759,175.18953,538.25995,-49.55143,304.58368,1.4761142,4,1.15339284E12,591.9784,117.23458,122.761536,-28.8733,77.57104
8506832133028,8506832133,85,6832133,1.6927639,407.4823,60,3.09594895E12,6286.332,181.32764,475.5304,33.101185,241.21913,1.6732464,3,1.17940919E12,314.3164,111.91785,136.66772,63.323273,77.92765
8506832133029,8506832133,85,6832133,1.9204055,457.20267,204,4.8650613E12,15131.289,214.59088,458.1283,53.30339,222.0358,1.9313253,5,1.22276977E12,370.8648,107.581955,129.29941,6.9679885,93.8223
#OK
