#OK
#SQL= select * from MDR1..BDMVprof where bdmId = 8506810361    order by Rbin
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-30 14:55:47.042 CET
#QUERYTIME 29 millisec
#COLUMN 1 name=bdmProfileId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 4 name=NinCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=R_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Rbin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 8 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=dens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=Vcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=VpropRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=Vrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=VradRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=boundR_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=boundNp JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 16 name=boundMass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=boundDens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=boundVcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=boundVcircRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=boundVrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=boundVradRms JDBC_TYPE=7 JDBC_TYPENAME=real
bdmProfileId,bdmId,snapnum,NinCat,R_Rvir,Rbin,np,mass,dens,Vcirc,VpropRms,Vrad,VradRms,boundR_Rvir,boundNp,boundMass,boundDens,boundVcirc,boundVcircRms,boundVrad,boundVradRms
8506810361000,8506810361,85,6810361,0.06628385,16.94385,4,8.6721266E10,5829033.0,148.8258,202.36449,-123.96714,159.56985,0.06628385,4,8.6721266E10,5829033.0,148.8258,202.36449,-123.96714,159.56985
8506810361001,8506810361,85,6810361,0.07723278,19.011316,2,1.04065516E11,2063312.6,153.91069,158.82504,-17.405596,58.953346,0.07723278,2,1.04065516E11,2063312.6,153.91069,158.82504,-17.405596,58.953346
8506810361002,8506810361,85,6810361,0.084060475,21.331045,2,1.21409765E11,1460718.1,156.9431,152.72902,-110.329056,113.18632,0.084060475,2,1.21409765E11,1460718.1,156.9431,152.72902,-110.329056,113.18632
8506810361003,8506810361,85,6810361,0.09311522,23.933823,9,1.99458898E11,4653496.0,189.90752,203.71407,97.06635,145.0073,0.09311522,9,1.99458898E11,4653496.0,189.90752,203.71407,97.06635,145.0073
8506810361004,8506810361,85,6810361,0.10534775,26.854197,5,2.42819531E11,1830228.5,197.81409,198.07648,105.63197,153.41277,0.10534775,5,2.42819531E11,1830228.5,197.81409,198.07648,105.63197,153.41277
8506810361005,8506810361,85,6810361,0.11819015,30.130901,3,2.68835914E11,777423.9,196.49841,100.38617,20.983232,72.02861,0.11819015,3,2.68835914E11,777423.9,196.49841,100.38617,20.983232,72.02861
8506810361006,8506810361,85,6810361,0.13392937,33.80743,4,3.03524413E11,733830.2,197.1116,187.56078,3.4430003,98.33783,0.13392937,4,3.03524413E11,733830.2,197.1116,187.56078,3.4430003,98.33783
8506810361007,8506810361,85,6810361,0.14947627,37.93256,8,3.72901413E11,1039025.2,206.25877,207.75525,-10.179752,178.47852,0.14947627,8,3.72901413E11,1039025.2,206.25877,207.75525,-10.179752,178.47852
8506810361008,8506810361,85,6810361,0.16666305,42.561028,4,4.07589913E11,367787.0,203.57628,191.47572,-30.603477,82.60936,0.16666305,4,4.07589913E11,367787.0,203.57628,191.47572,-30.603477,82.60936
8506810361009,8506810361,85,6810361,0.19282357,47.754265,1,4.16262029E11,65093.125,194.22217,148.9091,-23.330496,23.330496,0.19282357,1,4.16262029E11,65093.125,194.22217,148.9091,-23.330496,23.330496
